dataset,variant,runtime,peakmem
dbpedia,static,4:05.58,5862568
dbpedia,static,4:02.10,5862640
dbpedia,static,4:05.53,5862560
kadaster,static,0:28.49,1522960
kadaster,static,0:28.13,1522932
kadaster,static,0:28.16,1523100
energie,static,0:08.05,187432
energie,static,0:08.07,187560
energie,static,0:08.06,187656
dbpedia,dynamic,7:39.55,5243464
dbpedia,dynamic,7:39.92,5243476
dbpedia,dynamic,7:43.66,5243540
kadaster,dynamic,0:30.45,1011128
kadaster,dynamic,0:30.37,1010776
kadaster,dynamic,0:30.42,1010920
energie,dynamic,0:11.99,196348
energie,dynamic,0:11.96,196332
energie,dynamic,0:12.01,196060
