dataset,variant,runtime,peakmem
dbpedia,static,0:51.72,473332
dbpedia,static,0:51.74,473264
dbpedia,static,0:49.13,473460
kadaster,static,0:07.18,257256
kadaster,static,0:07.71,256340
kadaster,static,0:07.12,257568
energie,static,0:02.19,9828
energie,static,0:02.17,9908
energie,static,0:02.18,8260
dbpedia,dynamic,1:12.54,1708948
dbpedia,dynamic,1:12.81,1708924
dbpedia,dynamic,1:14.66,1709024
kadaster,dynamic,0:09.02,441436
kadaster,dynamic,0:09.05,440696
kadaster,dynamic,0:09.00,440852
energie,dynamic,0:02.14,53536
energie,dynamic,0:02.14,53424
energie,dynamic,0:02.16,53428
