dataset,variant,runtime,peakmem
dbpedia,static,0:05.99,873304
dbpedia,static,0:06.12,872728
dbpedia,static,0:06.01,872920
kadaster,static,0:01.00,129552
kadaster,static,0:01.00,129360
kadaster,static,0:00.99,129252
energie,static,0:00.14,16756
energie,static,0:00.14,16804
energie,static,0:00.14,16724
dbpedia,dynamic,0:12.46,1252160
dbpedia,dynamic,0:12.79,1252200
dbpedia,dynamic,0:12.54,1251984
kadaster,dynamic,0:01.45,378816
kadaster,dynamic,0:01.45,379040
kadaster,dynamic,0:01.45,378248
energie,dynamic,0:00.18,17596
energie,dynamic,0:00.18,17656
energie,dynamic,0:00.18,17740
