dataset,modulo,variant,runtime,peakmem
dbpedia,10,static,3:44.00,5077588
dbpedia,10,static,3:45.29,5077496
dbpedia,10,static,3:42.73,5077560
dbpedia,100,static,4:01.28,5823236
dbpedia,100,static,4:02.70,5823256
dbpedia,100,static,4:02.92,5822896
dbpedia,1000,static,4:01.38,5858500
dbpedia,1000,static,4:02.44,5858464
dbpedia,1000,static,4:00.93,5858596
kadaster,10,static,0:25.58,1288984
kadaster,10,static,0:25.38,1288976
kadaster,10,static,0:25.23,1288824
kadaster,100,static,0:29.05,1487628
kadaster,100,static,0:29.03,1487472
kadaster,100,static,0:29.00,1487512
kadaster,1000,static,0:28.99,1519196
kadaster,1000,static,0:29.05,1519288
kadaster,1000,static,0:29.36,1519340
energie,10,static,0:07.56,173600
energie,10,static,0:07.57,173484
energie,10,static,0:07.55,173552
energie,100,static,0:08.22,186076
energie,100,static,0:08.22,186084
energie,100,static,0:08.27,186096
energie,1000,static,0:08.38,187624
energie,1000,static,0:08.30,187360
energie,1000,static,0:08.73,187616
dbpedia,10,dynamic,1:33.13,2556076
dbpedia,10,dynamic,1:35.31,2556092
dbpedia,10,dynamic,1:36.08,2555808
dbpedia,100,dynamic,0:22.95,2452968
dbpedia,100,dynamic,0:22.34,2452968
dbpedia,100,dynamic,0:24.12,2453016
dbpedia,1000,dynamic,0:14.22,2411116
dbpedia,1000,dynamic,0:14.57,2411196
dbpedia,1000,dynamic,0:14.52,2411100
kadaster,10,dynamic,0:07.39,590028
kadaster,10,dynamic,0:07.29,590020
kadaster,10,dynamic,0:07.21,589836
kadaster,100,dynamic,0:03.69,555084
kadaster,100,dynamic,0:03.82,555068
kadaster,100,dynamic,0:03.89,555044
kadaster,1000,dynamic,0:03.47,544340
kadaster,1000,dynamic,0:03.44,544144
kadaster,1000,dynamic,0:03.57,544208
energie,10,dynamic,0:02.06,118140
energie,10,dynamic,0:02.10,117972
energie,10,dynamic,0:02.06,117956
energie,100,dynamic,0:00.48,94160
energie,100,dynamic,0:00.49,94216
energie,100,dynamic,0:00.48,94196
energie,1000,dynamic,0:00.33,94448
energie,1000,dynamic,0:00.33,94624
energie,1000,dynamic,0:00.38,94596
